,1x,1y,5x,5y,12x,12y,13x,13y,14x,14y
0,488.0,118.84615384615384,472.0,118.84615384615384,536.0,301.0769230769231,488.0,396.15384615384613,520.0,586.3076923076923
1,472.0,103.0,448.0,103.0,624.0,301.0769230769231,472.0,396.15384615384613,488.0,578.3846153846154
2,480.0,63.38461538461539,472.0,63.38461538461539,496.0,261.46153846153845,464.0,404.0769230769231,496.0,594.2307692307693
3,552.0,261.46153846153845,536.0,269.38461538461536,712.0,459.53846153846155,560.0,427.84615384615387,592.0,602.1538461538462
4,488.0,213.92307692307693,472.0,221.84615384615384,648.0,404.0769230769231,488.0,412.0,536.0,578.3846153846154
5,528.0,110.92307692307692,488.0,110.92307692307692,520.0,269.38461538461536,512.0,404.0769230769231,560.0,594.2307692307693
6,424.0,198.07692307692307,400.0,213.92307692307693,600.0,388.2307692307692,432.0,419.9230769230769,536.0,578.3846153846154
7,552.0,71.3076923076923,568.0,63.38461538461539,640.0,316.9230769230769,520.0,404.0769230769231,576.0,586.3076923076923
8,568.0,79.23076923076923,536.0,79.23076923076923,560.0,277.3076923076923,520.0,404.0769230769231,584.0,594.2307692307693
9,568.0,79.23076923076923,552.0,79.23076923076923,560.0,285.2307692307692,520.0,404.0769230769231,576.0,586.3076923076923
10,528.0,103.0,528.0,103.0,528.0,301.0769230769231,456.0,435.7692307692308,568.0,602.1538461538462
11,528.0,103.0,512.0,110.92307692307692,520.0,309.0,448.0,435.7692307692308,560.0,594.2307692307693
12,536.0,103.0,520.0,103.0,528.0,301.0769230769231,464.0,435.7692307692308,568.0,594.2307692307693
13,536.0,103.0,536.0,103.0,528.0,293.15384615384613,456.0,435.7692307692308,568.0,602.1538461538462
14,528.0,174.30769230769232,512.0,174.30769230769232,640.0,388.2307692307692,488.0,419.9230769230769,552.0,602.1538461538462
15,512.0,182.23076923076923,456.0,356.53846153846155,568.0,277.3076923076923,496.0,427.84615384615387,520.0,602.1538461538462
16,480.0,110.92307692307692,464.0,110.92307692307692,480.0,277.3076923076923,464.0,412.0,520.0,602.1538461538462
17,488.0,182.23076923076923,472.0,182.23076923076923,584.0,388.2307692307692,448.0,419.9230769230769,520.0,602.1538461538462
18,504.0,103.0,488.0,103.0,536.0,309.0,496.0,412.0,536.0,610.0769230769231
19,528.0,166.3846153846154,512.0,166.3846153846154,648.0,388.2307692307692,512.0,412.0,560.0,602.1538461538462
20,528.0,142.6153846153846,496.0,150.53846153846155,536.0,324.84615384615387,520.0,412.0,560.0,602.1538461538462
21,576.0,71.3076923076923,552.0,71.3076923076923,664.0,309.0,552.0,412.0,600.0,602.1538461538462
22,480.0,221.84615384615384,456.0,229.76923076923077,640.0,380.3076923076923,496.0,412.0,552.0,578.3846153846154
23,472.0,213.92307692307693,448.0,229.76923076923077,648.0,372.38461538461536,504.0,412.0,552.0,578.3846153846154
24,464.0,213.92307692307693,448.0,229.76923076923077,640.0,356.53846153846155,512.0,412.0,552.0,570.4615384615385
25,448.0,221.84615384615384,448.0,229.76923076923077,648.0,356.53846153846155,512.0,427.84615384615387,584.0,594.2307692307693
26,448.0,221.84615384615384,440.0,237.69230769230768,656.0,356.53846153846155,512.0,427.84615384615387,584.0,594.2307692307693
27,440.0,221.84615384615384,440.0,229.76923076923077,648.0,356.53846153846155,512.0,427.84615384615387,576.0,594.2307692307693
28,440.0,221.84615384615384,440.0,229.76923076923077,656.0,356.53846153846155,512.0,427.84615384615387,584.0,602.1538461538462
29,440.0,221.84615384615384,440.0,229.76923076923077,648.0,348.61538461538464,512.0,427.84615384615387,584.0,594.2307692307693
30,424.0,237.69230769230768,416.0,245.6153846153846,616.0,372.38461538461536,480.0,427.84615384615387,568.0,594.2307692307693
31,424.0,237.69230769230768,416.0,245.6153846153846,616.0,372.38461538461536,480.0,435.7692307692308,568.0,586.3076923076923
32,432.0,237.69230769230768,424.0,245.6153846153846,624.0,372.38461538461536,480.0,435.7692307692308,568.0,594.2307692307693
33,424.0,237.69230769230768,416.0,245.6153846153846,624.0,380.3076923076923,480.0,435.7692307692308,568.0,594.2307692307693
34,424.0,237.69230769230768,416.0,245.6153846153846,616.0,372.38461538461536,480.0,435.7692307692308,568.0,586.3076923076923
35,536.0,79.23076923076923,552.0,87.15384615384616,560.0,332.7692307692308,472.0,459.53846153846155,592.0,625.9230769230769
36,464.0,206.0,448.0,213.92307692307693,656.0,364.46153846153845,504.0,427.84615384615387,568.0,618.0
37,480.0,158.46153846153845,456.0,174.30769230769232,656.0,324.84615384615387,520.0,419.9230769230769,568.0,625.9230769230769
38,176.0,213.92307692307693,144.0,221.84615384615384,352.0,404.0769230769231,168.0,435.7692307692308,256.0,602.1538461538462
39,168.0,213.92307692307693,136.0,221.84615384615384,344.0,396.15384615384613,168.0,443.6923076923077,256.0,602.1538461538462
40,168.0,213.92307692307693,136.0,221.84615384615384,352.0,396.15384615384613,168.0,443.6923076923077,256.0,602.1538461538462
41,464.0,206.0,456.0,206.0,616.0,388.2307692307692,488.0,419.9230769230769,520.0,594.2307692307693
42,528.0,126.76923076923077,528.0,126.76923076923077,576.0,340.6923076923077,440.0,388.2307692307692,584.0,625.9230769230769
43,520.0,126.76923076923077,528.0,126.76923076923077,568.0,356.53846153846155,488.0,443.6923076923077,584.0,625.9230769230769
44,528.0,126.76923076923077,528.0,126.76923076923077,568.0,348.61538461538464,432.0,388.2307692307692,584.0,618.0
45,336.0,166.3846153846154,312.0,190.15384615384616,552.0,340.6923076923077,440.0,419.9230769230769,464.0,633.8461538461538
46,720.0,182.23076923076923,744.0,182.23076923076923,544.0,332.7692307692308,544.0,412.0,544.0,602.1538461538462
47,352.0,213.92307692307693,328.0,229.76923076923077,520.0,388.2307692307692,376.0,419.9230769230769,424.0,594.2307692307693
48,344.0,221.84615384615384,328.0,229.76923076923077,520.0,396.15384615384613,368.0,427.84615384615387,424.0,594.2307692307693
49,432.0,229.76923076923077,416.0,229.76923076923077,576.0,380.3076923076923,440.0,412.0,496.0,570.4615384615385
50,432.0,221.84615384615384,416.0,229.76923076923077,576.0,380.3076923076923,448.0,412.0,496.0,570.4615384615385
